UNIT,station_name,lat,lng,location_string
R126,175 ST,40.847369,-73.939683,"40.847369,-73.939683"
R127,JAY ST-METROTEC,40.692338,-73.987342,"40.692338,-73.987342"
R128,SUTPHIN BLVD,40.705416,-73.810562,"40.705416,-73.810562"
R129,BERGEN ST,40.686154,-73.990881,"40.686154,-73.990881"
R130,KINGS HIGHWAY,40.603234,-73.972342,"40.603234,-73.972342"
R131,23 ST,40.740088,-73.986429,"40.740088,-73.986429"
R132,125 ST,40.804406,-73.937452,"40.804406,-73.937452"
R133,MOSHOLU PARKWAY,40.87963,-73.884666,"40.87963,-73.884666"
R134,HUNTERS PT AVE,40.74238,-73.948889,"40.74238,-73.948889"
R135,NEWKIRK AVE,40.639961,-73.948352,"40.639961,-73.948352"
R136,SHEEPSHEAD BAY,40.58681,-73.954167,"40.58681,-73.954167"
R137,MYRTLE AVE,40.699707,-73.91181,"40.699707,-73.91181"
R138,W 4 ST-WASH SQ,40.732251,-74.000559,"40.732251,-74.000559"
R139,CANAL ST,40.720852,-74.005237,"40.720852,-74.005237"
R140,QUEENS PLAZA,40.748948,-73.937194,"40.748948,-73.937194"
R141,FOREST HILLS-71,40.721681,-73.84439,"40.721681,-73.84439"
R142,DELANCEY ST,40.71838,-73.987813,"40.71838,-73.987813"
R143,28 ST,40.743095,-73.984251,"40.743095,-73.984251"
R144,96 ST,40.785822,-73.95097,"40.785822,-73.95097"
R145,WAKEFIELD-241,40.903085,-73.850591,"40.903085,-73.850591"
R146,HUNTS POINT AVE,40.820889,-73.890567,"40.820889,-73.890567"
R147,61 ST/WOODSIDE,40.745623,-73.902969,"40.745623,-73.902969"
R148,PARKSIDE AVE,40.655053,-73.961227,"40.655053,-73.961227"
R149,NEWKIRK AVE,40.635059,-73.962793,"40.635059,-73.962793"
R150,AVE U,40.599307,-73.955916,"40.599307,-73.955916"
R151,STILLWELL AVE,40.577423,-73.981225,"40.577423,-73.981225"
R152,ROCKAWAY PKY,40.64666,-73.901832,"40.64666,-73.901832"
R153,UTICA AVE,40.679279,-73.930585,"40.679279,-73.930585"
R154,TREMONT AVE,40.850307,-73.905244,"40.850307,-73.905244"
R155,KINGSBRIDGE RD,40.866974,-73.893485,"40.866974,-73.893485"
R156,BEDFORD PARK BL,40.873026,-73.886919,"40.873026,-73.886919"
R157,NORWOOD-205 ST,40.874827,-73.878872,"40.874827,-73.878872"
R158,UNION TPK-KEW G,40.714444,-73.830979,"40.714444,-73.830979"
R159,116 ST-COLUMBIA,40.80819,-73.964124,"40.80819,-73.964124"
R160,ASTOR PLACE,40.730056,-73.991042,"40.730056,-73.991042"
R161,KINGSBRIDGE RD,40.867899,-73.897326,"40.867899,-73.897326"
R162,ELDER AVE,40.828894,-73.879559,"40.828894,-73.879559"
R163,14 ST-6 AVE,40.737348,-73.9969,"40.737348,-73.9969"
R164,66 ST-LINCOLN,40.773424,-73.982234,"40.773424,-73.982234"
R165,TOMPKINSVILLE,40.636948,-74.074824,"40.636948,-74.074824"
R166,79 ST,40.783872,-73.979938,"40.783872,-73.979938"
R167,86 ST,40.788844,-73.97599,"40.788844,-73.97599"
R168,96 ST,40.79388,-73.972363,"40.79388,-73.972363"
R169,137 ST-CITY COL,40.821994,-73.953674,"40.821994,-73.953674"
R170,14 ST-UNION SQ,40.734836,-73.990688,"40.734836,-73.990688"
R171,7 AVE,40.677172,-73.972514,"40.677172,-73.972514"
R172,BRIGHTON BEACH,40.577961,-73.961806,"40.577961,-73.961806"
R173,INWOOD-207 ST,40.868045,-73.919921,"40.868045,-73.919921"
R174,181 ST,40.851686,-73.937967,"40.851686,-73.937967"
R175,14 ST,40.740388,-74.002104,"40.740388,-74.002104"
R176,33 ST,40.746119,-73.981826,"40.746119,-73.981826"
R177,68ST-HUNTER COL,40.768143,-73.964016,"40.768143,-73.964016"
R178,77 ST,40.773636,-73.959875,"40.773636,-73.959875"
R179,86 ST,40.779485,-73.955541,"40.779485,-73.955541"
R180,103 ST,40.790582,-73.947473,"40.790582,-73.947473"
R181,110 ST,40.795066,-73.944297,"40.795066,-73.944297"
R182,116 ST,40.798574,-73.941593,"40.798574,-73.941593"
R183,BEDFORD PARK BL,40.873399,-73.890084,"40.873399,-73.890084"
R184,CORTELYOU ROAD,40.640905,-73.963866,"40.640905,-73.963866"
R185,DYCKMAN-200 ST,40.865286,-73.92698,"40.865286,-73.92698"
R186,86 ST,40.785822,-73.968952,"40.785822,-73.968952"
R187,81 ST-MUSEUM,40.781435,-73.972149,"40.781435,-73.972149"
R188,50 ST,40.762439,-73.985989,"40.762439,-73.985989"
R189,CHRISTOPHER ST,40.733405,-74.002898,"40.733405,-74.002898"
R190,23 ST,40.744071,-73.995624,"40.744071,-73.995624"
R191,103 ST,40.799354,-73.968329,"40.799354,-73.968329"
R192,110 ST-CATHEDRL,40.804032,-73.966742,"40.804032,-73.966742"
R193,157 ST,40.833879,-73.944726,"40.833879,-73.944726"
R194,BLEECKER ST,40.725665,-73.995645,"40.725665,-73.995645"
R195,161 ST-YANKEE,40.827888,-73.925736,"40.827888,-73.925736"
R196,PROSPECT PARK,40.661596,-73.962193,"40.661596,-73.962193"
R197,36 ST,40.65515,-74.003477,"40.65515,-74.003477"
R198,NOSTRAND AVE,40.68041,-73.950326,"40.68041,-73.950326"
R199,KINGSTON-THROOP,40.679921,-73.940858,"40.679921,-73.940858"
R200,EUCLID AVE,40.675382,-73.87207,"40.675382,-73.87207"
R201,WOODHAVEN BLVD,40.73308,-73.869259,"40.73308,-73.869259"
R202,63 DR-REGO PARK,40.729869,-73.86161,"40.729869,-73.86161"
R203,23 ST-6 AVE,40.742868,-73.99277,"40.742868,-73.99277"
R204,CHURCH AVE,40.644039,-73.979541,"40.644039,-73.979541"
R205,149 ST-GR CONC,40.818429,-73.926927,"40.818429,-73.926927"
R206,125 ST,40.808076,-73.945906,"40.808076,-73.945906"
R207,135 ST,40.814459,-73.940992,"40.814459,-73.940992"
R208,103 ST-CORONA,40.749858,-73.862672,"40.749858,-73.862672"
R209,STERLING ST,40.662752,-73.950605,"40.662752,-73.950605"
R210,BEVERLY ROAD,40.645089,-73.948975,"40.645089,-73.948975"
R211,KINGS HIGHWAY,40.608691,-73.957772,"40.608691,-73.957772"
